,index,wilson_coef,runtwo,hightlum
0,0,cphiL,0.2867387070141199,0.40175090101921984
1,1,cphiQ,0.33263957901317454,0.3900866200856331
2,2,cphihh,0.34,0.87
3,3,cqt8,0.5444589419508831,0.8479201285894369
4,4,cqt1,1.2274855108540828,1.8571856383282166
5,5,cqtqb8,0.253380039649319,0.35009682266917724
6,6,cqtqb1,0.5673427564600256,0.8082963409395324
