,index,wilson_coef,runtwo,hightlum
0,0,cphiL,0.28652973750117416,0.40438896836077654
1,1,cphiQ,0.33342057760565635,0.39040121832694347
2,2,cphihh,0.34,0.87
3,3,cqt8,0.5060581225617552,0.7727414046280109
4,4,cqt1,1.244464981713078,1.8752206301256715
5,5,cqtqb8,1.1192768909881952,1.4258388394495514
6,6,cqtqb1,2.9373234974150586,3.2006362226225935
